2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{515/7}₂,₃     	3438.102	                          	        	3256.5	-      	0
{721/5}₂,₃     	3438.102	                          	        	3256.5	-      	0
{221/41}₂,₃    	3439.824	                          	        	3259  	-      	0
{533/17}₂,₃    	3439.824	                          	        	3259  	-      	0
{697/13}₂,₃    	3439.824	                          	        	3259  	-      	0
{4693/25}₂,₃   	3440.085	                          	        	3261  	-      	0
{529/275}₂,₃   	3442.310	                          	        	3262  	-      	0
{2401/143}₂,₃  	3444.027	                          	        	3263  	-      	0
{163/7}₂,₃     	3444.130	                          	        	3264  	-      	0
{193/5}₂,₃     	3448.981	                          	        	3265  	-      	0
{575/169}₂,₃   	3449.113	                          	        	3266.5	-      	0
{3887/25}₂,₃   	3449.113	                          	        	3266.5	-      	0
{116875}₂,₃    	3449.436	                          	        	3268  	-      	0
{455/289}₂,₃   	3449.715	                          	        	3270.5	-      	0
{1445/91}₂,₃   	3449.715	                          	        	3270.5	-      	0
{2023/65}₂,₃   	3449.715	                          	        	3270.5	-      	0
{3757/35}₂,₃   	3449.715	                          	        	3270.5	-      	0
{205/133}₂,₃   	3450.201	                          	        	3274  	-      	0
{287/95}₂,₃    	3450.201	                          	        	3274  	-      	0
{779/35}₂,₃    	3450.201	                          	        	3274  	-      	0
{215/121}₂,₃   	3452.608	                          	        	3276  	-      	0
{71/37}₂,₃     	3454.019	                          	        	3277  	604.5  	1
{169/47}₂,₃    	3456.676	                          	        	3278  	-      	0
{605/161}₂,₃   	3457.276	                          	        	3280.5	-      	0
{805/121}₂,₃   	3457.276	                          	        	3280.5	-      	0
{847/115}₂,₃   	3457.276	                          	        	3280.5	-      	0
{2783/35}₂,₃   	3457.276	                          	        	3280.5	-      	0
{133/53}₂,₃    	3459.231	                          	        	3284  	-      	0
{371/19}₂,₃    	3459.231	                          	        	3284  	-      	0
{1007/7}₂,₃    	3459.231	                          	        	3284  	-      	0
{8281/125}₂,₃  	3461.066	                          	        	3286  	-      	0
{107/49}₂,₃    	3462.969	                          	        	3287  	-      	0
{101/55}₂,₃    	3463.302	                          	        	3288  	604.5  	1
{76895}₂,₃     	3470.955	                          	        	3289  	-      	0
{17255}₂,₃     	3474.965	                          	        	3290  	-      	0
{3179/125}₂,₃  	3474.987	                          	        	3291  	-      	0
{203/43}₂,₃    	3475.435	                          	        	3293  	-      	0
{301/29}₂,₃    	3475.435	                          	        	3293  	-      	0
{1247/7}₂,₃    	3475.435	                          	        	3293  	-      	0
{3125/31}₂,₃   	3475.839	                          	        	3295  	-      	0
{77077}₂,₃     	3479.170	                          	        	3296  	-      	0
{391/31}₂,₃    	3479.176	                          	        	3298  	-      	0
{527/23}₂,₃    	3479.176	                          	        	3298  	-      	0
{713/17}₂,₃    	3479.176	                          	        	3298  	-      	0
{4165/19}₂,₃   	3480.475	                          	        	3301  	-      	0
{4655/17}₂,₃   	3480.475	                          	        	3301  	-      	0
{15827/5}₂,₃   	3480.475	                          	        	3301  	-      	0
{667/175}₂,₃   	3482.536	                          	        	3303  	-      	0
{127/35}₂,₃    	3484.660	                          	        	3304  	-      	0
{767/25}₂,₃    	3491.744	                          	        	3305  	-      	0
{8671}₂,₃      	3492.486	                          	        	3306  	-      	0
{5929/625}₂,₃  	3494.674	                          	        	3307  	-      	0
{1075/49}₂,₃   	3495.409	                          	        	3308.5	-      	0
{2107/25}₂,₃   	3495.409	                          	        	3308.5	-      	0
{131/11}₂,₃    	3495.759	                          	        	3310  	-      	0
{21125/11}₂,₃  	3496.383	                          	        	3311  	-      	0
{539/145}₂,₃   	3497.677	                          	        	3313  	-      	0
{1421/55}₂,₃   	3497.677	                          	        	3313  	-      	0
{1595/49}₂,₃   	3497.677	                          	        	3313  	-      	0
{1177}₂,₃      	3498.306	                          	        	3315  	-      	0
{251}₂,₃       	3500.056	                          	        	3316  	-      	0
{7889/25}₂,₃   	3500.135	                          	        	3317  	-      	0
{1045/343}₂,₃  	3503.223	                          	        	3318  	-      	0
{605/221}₂,₃   	3507.693	                          	        	3320.5	-      	0
{1105/121}₂,₃  	3507.693	                          	        	3320.5	-      	0
{1573/85}₂,₃   	3507.693	                          	        	3320.5	-      	0
{2057/65}₂,₃   	3507.693	                          	        	3320.5	-      	0
{343/47}₂,₃    	3507.810	                          	        	3323  	-      	0
{415/11}₂,₃    	3508.287	                          	        	3324.5	-      	0
{913/5}₂,₃     	3508.287	                          	        	3324.5	-      	0
{217/169}₂,₃   	3508.836	                          	        	3326  	-      	0
{205/43}₂,₃    	3509.676	                          	        	3328  	-      	0
{215/41}₂,₃    	3509.676	                          	        	3328  	-      	0
{1763/5}₂,₃    	3509.676	                          	        	3328  	-      	0
{6845}₂,₃      	3517.569	                          	        	3330  	-      	0
{151/25}₂,₃    	3518.673	                          	        	3331  	-      	0
{629/49}₂,₃    	3519.682	                          	        	3332  	-      	0
{1729/625}₂,₃  	3520.555	                          	        	3333  	-      	0
{156065}₂,₃    	3522.300	                          	        	3334  	-      	0
{5405}₂,₃      	3528.264	                          	        	3335  	-      	0
{4225/19}₂,₃   	3530.613	                          	        	3336  	-      	0
{184877}₂,₃    	3530.637	                          	        	3337  	-      	0
{11825}₂,₃     	3531.076	                          	        	3338  	-      	0
{85/67}₂,₃     	3533.009	                          	        	3340  	-      	0
{335/17}₂,₃    	3533.009	                          	        	3340  	-      	0
{1139/5}₂,₃    	3533.009	                          	        	3340  	-      	0
{17545}₂,₃     	3533.368	                          	        	3342  	-      	0
{341/325}₂,₃   	3534.542	                          	        	3343.5	-      	0
{403/275}₂,₃   	3534.542	                          	        	3343.5	-      	0
{44275}₂,₃     	3535.851	                          	        	3345  	-      	0
{1445/23}₂,₃   	3538.912	                          	        	3346.5	-      	0
{6647/5}₂,₃    	3538.912	                          	        	3346.5	-      	0
{4235/19}₂,₃   	3538.970	                          	        	3349  	-      	0
{11495/7}₂,₃   	3538.970	                          	        	3349  	-      	0
{16093/5}₂,₃   	3538.970	                          	        	3349  	-      	0
{455/41}₂,₃    	3540.995	                          	        	3352.5	-      	0
{1435/13}₂,₃   	3540.995	                          	        	3352.5	-      	0
{2665/7}₂,₃    	3540.995	                          	        	3352.5	-      	0
{3731/5}₂,₃    	3540.995	                          	        	3352.5	-      	0
{2525}₂,₃      	3542.014	                          	        	3355  	-      	0
{289/209}₂,₃   	3542.034	                          	        	3356  	-      	0
{437/343}₂,₃   	3546.803	                          	        	3357  	-      	0
{4823}₂,₃      	3550.264	                          	        	3358  	-      	0
{1225/221}₂,₃  	3551.177	                          	        	3360  	-      	0
{5525/49}₂,₃   	3551.177	                          	        	3360  	-      	0
{10829/25}₂,₃  	3551.177	                          	        	3360  	-      	0
{6919}₂,₃      	3555.597	                          	        	3362  	-      	0
{391/385}₂,₃   	3562.042	                          	        	3363  	-      	0
